charger_pk,유형(대분류),유형(소분류),시군구,타입,용량_kw,경도,위도
286,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.559762,33.2447042
127,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.9353337,33.4626034
241,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.4748883,33.497247
296,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.8435134,33.32477
306,근린생활시설,도서관,제주시,DC차데모+AC3상+DC콤보,50,126.1844735,33.3498642
103,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.5632305,33.250149
138,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.8564138,33.5250618
342,공공시설,주민센터,제주시,DC차데모+AC3상+DC콤보,50,126.5653952,33.5204366
285,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.559762,33.2447042
126,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.9353337,33.4626034
174,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.4325807,33.4899163
284,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.5621745,33.2498541
193,공공시설,주민센터,제주시,DC차데모+AC3상+DC콤보,50,126.526896,33.5068505
301,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.4138809,33.4858471
298,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.8435134,33.32477
14,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.515675,33.2520853
91,공공시설,주민센터,제주시,DC차데모+AC3상+DC콤보,50,126.345658,33.4497752
189,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.5109284,33.2477614
323,공공시설,지자체시설,제주시,DC차데모+AC3상+DC콤보,50,126.2681695,33.4101151
160,주차시설,일반주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.3352105,33.2462717
322,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.2375622,33.3908635
290,주차시설,공영주차장,제주시,DC차데모+AC3상+DC콤보,50,126.5442796,33.4916249
101,주차시설,공영주차장,서귀포시,DC차데모+AC3상+DC콤보,50,126.5628487,33.2436479
