위도,경도,station_name,charger_count,match_dist_m
33.2230511,126.2519616,대정감협 인근 공영주차장,1,36.1
33.223096,126.2560557,대정파출소,1,9.8
33.2233667,126.2539516,대정읍 노외4주차장,2,19.3
33.2238909,126.2525337,대정하모3공영주차장,1,9.7
33.2278859,126.2477291,대정청소년수련관,2,31.7
33.2285191,126.4776049,워터 제주 서귀포강정크루즈터미널,2,57.5
33.2359297,126.3118958,산방산,1,19.4
33.2369692,126.5111374,대륜 공영노외2주차장,1,8.0
33.2395506,126.5644257,서귀포항 해운항만과 사무실,2,7.4
33.2412897,126.4244429,ICC제주국제컨벤션센터 B1,1,85.8
33.2426243,126.5916245,보목하수처리장,1,21.9
33.2436479,126.5628487,서귀포성당 뒤 주차장,1,17.4
33.2447042,126.559762,천지연폭포주차장 #1,2,19.7
33.2447169,126.5595512,천지연폭포주차장 #2,1,0.0
33.2448476,126.5511958,서귀포 예술의전당 #1,1,69.6
33.2449618,126.5657374,송산동주민센터,1,30.2
33.2461233,126.4145102,중문 관광단지,5,17.4
33.2462717,126.3352105,안덕우체국 뒤 주차장,1,28.7
33.2463334,126.5507911,서귀포 예술의전당 #2,1,147.1
33.2469483,126.5074318,월드컵경기장,4,53.9
33.2477614,126.5109284,제주월드컵경기장,2,32.5
33.2478387,126.5144177,천주교제주교구새서귀포성당,1,70.2
33.2498541,126.5621745,중앙공영주차장(우리은행 서귀포점 인근 공영주차장) #1,1,1.1
33.2499092,126.562059,중앙공영주차장(우리은행 서귀포점 인근 공영주차장) #2,2,11.2
33.2499771,126.2789521,세계유산본부,2,65.1
33.250149,126.5632305,서귀포시 매일시장 공영주차장,1,0.0
33.2508394,126.4754532,도순마을회관,2,23.5
33.2512668,126.5703398,서귀포 자기주도학습지원센터,1,29.1
33.2520853,126.515675,국토교통인재개발원 인근 공영주차장,1,2.6
33.2525987,126.5673617,아시아CGI애니메이션센터,2,35.5
33.2533766,126.555087,서귀포보건소,1,57.8
33.2541767,126.43804,주식회사일레인,1,104.2
33.2542468,126.6224067,쇠소깍 공영주차장,1,47.4
33.2549649,126.5074505,국민건강보험공단 서귀포지사,1,11.5
33.2559081,126.5612277,홍로공영주차장,3,45.8
33.2560359,126.5085884,서귀포경찰서,3,56.3
33.257492,126.330668,안덕면사무소 #1,2,9.2
33.2576246,126.3305732,안덕면사무소 #2,1,18.0
33.2578209,126.5689192,동홍동 주민센터,1,25.5
33.2579847,126.617757,하효마을다목적회관,2,23.1
33.2584129,126.2107749,영락리사무소,1,19.9
33.261484,126.4890283,농업기술원,5,4.0
33.2628169,126.6152514,효돈동주민센터 앞 주차장,2,7.2
33.262871,126.5957295,제주 제스코마트 서귀포점,2,6.7
33.2630979,126.4424544,회수사거리 인근 공영주차장,1,13.3
33.2633026,126.6155609,효돈동주민센터,1,10.3
33.2639012,126.2353798,대정문화체육센터,3,81.6
33.2679622,126.5729732,서귀포향토오일시장,6,25.0
33.2687603,126.5866437,영천동 주민센터,1,18.9
33.2734589,126.198965,무릉문화의집,1,21.7
33.2756827,126.7033791,남원읍동부보건소,1,11.7
33.2770781,126.7119602,제주남원동부 새마을금고주유소,1,27.8
33.2788008,126.7213532,남원읍 공영주차장,1,44.0
33.2788469,126.7165914,남원중앙동공영주차장,2,27.3
33.2800164,126.7183233,남원 공영노외1주차장,1,25.7
33.2814852,126.7084388,남원119센터,1,15.8
33.2832031,126.2734831,제주 곶자왈 도립공원입구,1,73.2
33.2846276,126.5886174,서귀포시 교통행정과(공영버스 차고지),1,41.2
33.2879423,126.2818297,영어교육도시지원사무소 #1,1,0.0
33.2879471,126.2819717,영어교육도시지원사무소 #2,1,13.2
33.2883077,126.6072408,서귀포농업기술센터,3,77.6
33.2898164,126.6576797,위미의례회관,1,22.9
33.292681,126.2336974,산양리 다목적회관,1,35.0
33.2972045,126.6088587,하례2리 마을회,2,7.5
33.2974057,126.3051643,신화역사공원 조성사업,4,159.8
33.2986031,126.304459,서귀포시 주차시설 충전소,4,271.9
33.3001334,126.5844547,돈내코유원지 주차장,4,34.7
33.300247,126.5847692,돈내코야영장,1,8.8
33.3015229,126.1845301,한경체육관,1,41.2
33.3076432,126.4191596,서귀포쓰레기위생매립장,2,50.0
33.3127768,126.7439798,제주감귤농협유통사업단(2유통센터),2,70.7
33.316097,126.6343686,생물종다양성연구소,1,75.3
33.3180833,126.2475124,한경면(청수리)청수마을회관,2,33.2
33.3211388,126.7456022,신흥2리마을회,1,7.8
33.32477,126.8435134,해비치호텔앤드리조트 제주,5,64.8
33.3266598,126.8310535,표선 공영주차장,1,55.0
33.3268734,126.8234679,표선 의례회관 앞 공영주차장,1,46.0
